record_id,Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
196,2020,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Female,Hispanic,181,13.9,12.4
197,2020,Chronic Lower Respiratory Diseases (J40-J47),Female,Hispanic,190,14.6,13.3
198,2020,Influenza (Flu) and Pneumonia (J09-J18),Female,Hispanic,223,17.1,15.5
199,2020,Alzheimer's Disease (G30),Female,Hispanic,224,17.2,15.2
200,2020,Diabetes Mellitus (E10-E14),Female,Hispanic,269,20.7,18.9
201,2020,Cerebrovascular Disease (Stroke: I60-I69),Female,Hispanic,293,22.5,20.2
202,2020,Malignant Neoplasms (Cancer: C00-C97),Female,Hispanic,1095,84.2,77.5
203,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Hispanic,1850,142.2,127.6
204,2020,Covid-19,Female,Hispanic,2515,193.4,176.2
205,2020,All Other Causes,Male,Not Stated/Unknown,199,,
206,2020,Certain Conditions Originating in the Perinatal Period (P00-P96),Male,Not Stated/Unknown,19,,
207,2020,Chronic Lower Respiratory Diseases (J40-J47),Male,Not Stated/Unknown,20,,
208,2020,Cerebrovascular Disease (Stroke: I60-I69),Male,Not Stated/Unknown,23,,
209,2020,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Male,Not Stated/Unknown,24,,
210,2020,Diabetes Mellitus (E10-E14),Male,Not Stated/Unknown,34,,
211,2020,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Not Stated/Unknown,36,,
212,2020,Influenza (Flu) and Pneumonia (J09-J18),Male,Not Stated/Unknown,37,,
213,2020,Malignant Neoplasms (Cancer: C00-C97),Male,Not Stated/Unknown,87,,
214,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Not Stated/Unknown,308,,
215,2020,Covid-19,Male,Not Stated/Unknown,468,,
216,2020,All Other Causes,Male,Other Race/ Ethnicity,100,,
217,2020,Chronic Lower Respiratory Diseases (J40-J47),Male,Other Race/ Ethnicity,10,,
218,2020,Influenza (Flu) and Pneumonia (J09-J18),Male,Other Race/ Ethnicity,11,,
219,2020,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Other Race/ Ethnicity,12,,
220,2020,Mental and Behavioral Disorders due to Use of Alcohol (F10),Male,Other Race/ Ethnicity,13,,
221,2020,Diabetes Mellitus (E10-E14),Male,Other Race/ Ethnicity,19,,
222,2020,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Other Race/ Ethnicity,21,,
223,2020,Malignant Neoplasms (Cancer: C00-C97),Female,Non-Hispanic Black,1653,160.6,120.8
224,2020,Cerebrovascular Disease (Stroke: I60-I69),Male,Other Race/ Ethnicity,23,,
225,2020,Malignant Neoplasms (Cancer: C00-C97),Male,Other Race/ Ethnicity,55,,
226,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Other Race/ Ethnicity,107,,
227,2020,Covid-19,Male,Other Race/ Ethnicity,159,,
228,2020,All Other Causes,Male,Non-Hispanic Black,1884,216.7,215.4
229,2020,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Non-Hispanic Black,191,22,21.9
230,2020,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Male,Non-Hispanic Black,252,29,29.3
231,2020,Influenza (Flu) and Pneumonia (J09-J18),Male,Non-Hispanic Black,253,29.1,28.9
232,2020,"Assault (Homicide: U01-U02, Y87.1, X85-Y09)",Male,Non-Hispanic Black,281,32.3,33.1
233,2020,Cerebrovascular Disease (Stroke: I60-I69),Male,Non-Hispanic Black,290,33.4,33.5
234,2020,Diabetes Mellitus (E10-E14),Male,Non-Hispanic Black,395,45.4,44.8
235,2020,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Non-Hispanic Black,482,55.4,50.1
236,2020,Malignant Neoplasms (Cancer: C00-C97),Male,Non-Hispanic Black,1283,147.6,144.3
237,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Non-Hispanic Black,3007,345.9,346.4
238,2020,Covid-19,Male,Non-Hispanic Black,3288,378.2,372
239,2020,All Other Causes,Male,Non-Hispanic White,2658,189.9,150.5
240,2020,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Non-Hispanic White,220,15.7,12.5
241,2020,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Male,Non-Hispanic White,220,15.7,11.9
242,2020,Diabetes Mellitus (E10-E14),Male,Non-Hispanic White,285,20.4,15.9
243,2020,Cerebrovascular Disease (Stroke: I60-I69),Male,Non-Hispanic White,312,22.3,16.9
244,2020,Chronic Lower Respiratory Diseases (J40-J47),Male,Non-Hispanic White,349,24.9,18.7
245,2020,Influenza (Flu) and Pneumonia (J09-J18),Male,Non-Hispanic White,390,27.9,21.1
246,2020,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Non-Hispanic White,566,40.4,37.1
247,2020,Malignant Neoplasms (Cancer: C00-C97),Male,Non-Hispanic White,2480,177.2,137.6
248,2020,Covid-19,Male,Non-Hispanic White,3297,235.6,178.9
249,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Non-Hispanic White,4339,310,234.2
250,2020,All Other Causes,Male,Asian and Pacific Islander,633,100.8,100.3
251,2020,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Asian and Pacific Islander,50,8,7.8
252,2020,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Male,Asian and Pacific Islander,55,8.8,8.3
253,2020,"Essential Hypertension and Renal Diseases (I10, I12, I15)",Male,Asian and Pacific Islander,59,9.4,9.2
254,2020,Chronic Lower Respiratory Diseases (J40-J47),Male,Asian and Pacific Islander,87,13.9,14.2
255,2020,Cerebrovascular Disease (Stroke: I60-I69),Male,Asian and Pacific Islander,118,18.8,18.2
256,2020,Diabetes Mellitus (E10-E14),Male,Asian and Pacific Islander,126,20.1,18.8
257,2020,Influenza (Flu) and Pneumonia (J09-J18),Male,Asian and Pacific Islander,149,23.7,23.3
258,2020,Malignant Neoplasms (Cancer: C00-C97),Male,Asian and Pacific Islander,710,113.1,104.1
259,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Asian and Pacific Islander,979,156,152.7
260,2020,Covid-19,Male,Asian and Pacific Islander,1352,215.4,198.1
261,2020,All Other Causes,Male,Hispanic,1796,146.2,176
262,2020,Chronic Lower Respiratory Diseases (J40-J47),Male,Hispanic,173,14.1,17.9
263,2020,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)",Male,Hispanic,199,16.2,16.7
264,2020,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Hispanic,201,16.4,17.7
265,2020,Influenza (Flu) and Pneumonia (J09-J18),Male,Hispanic,276,22.5,29.3
266,2020,Diabetes Mellitus (E10-E14),Male,Hispanic,278,22.6,27.5
267,2020,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Hispanic,560,45.6,44.5
268,2020,Malignant Neoplasms (Cancer: C00-C97),Male,Hispanic,1089,88.7,106.7
269,2020,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Hispanic,1968,160.2,204.7
270,2020,Covid-19,Male,Hispanic,4104,334.1,399.5
271,2020,Covid-19,Female,Non-Hispanic Black,2700,262.4,191.4
272,2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Other Race/ Ethnicity,1,,
273,2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Not Stated/Unknown,9,9.949698745,12.73357975
274,2019,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Not Stated/Unknown,10,11.05522083,14.64331729
275,2019,Cerebrovascular Disease (Stroke: I60-I69),Female,Not Stated/Unknown,11,12.16074291,15.98649499
